featureType,featureId,name,shop,brand,hours,latitude,longitude
node,317124777,Panera Bread,,Panera Bread,,37.7760504,-122.3939630
node,317124809,City Gourmet Deli,,,,37.7801650,-122.3946256
node,358116917,McDonald's,,McDonald's,,37.7263814,-122.4762258
node,365489480,Delica,,,,37.7955496,-122.3931929
node,383509298,Jack in the Box,,Jack in the Box,,37.7872518,-122.4100500
node,432817342,Burger King,,Burger King,,37.7831831,-122.4210960
node,432826225,Subway,,Subway,,37.7839182,-122.4194876
node,434874627,In-N-Out Burger,,In-N-Out Burger,,37.8077668,-122.4184666
node,527744442,KFC Taco Bell,,,,37.7288885,-122.4307199
node,529656139,Tony's Cable Car,,,,37.7828529,-122.4448572
node,615277748,McDonald's,,McDonald's,,37.7234803,-122.4554730
node,647656796,Memphis Minnie's,,,,37.7720644,-122.4316640
node,647656836,Metro Caffe,,,,37.7718907,-122.4305330
node,647656857,Love 'n' Haight,,,,37.7718999,-122.4313245
node,647656860,Mythic Pizza,,,,37.7719058,-122.4312812
node,647656864,Berliner Berliner,,,,37.7719157,-122.4311673
node,725554114,Beep's Burgers,,,,37.7232243,-122.4538840
node,731989577,Domino's,,Domino's,,37.7862682,-122.4176924
node,732005598,Irving Pizza,,,,37.7861368,-122.4187653
node,761937484,Extreme Pizza,,Extreme Pizza,,37.7774802,-122.4071839
node,808884817,Subway,,Subway,,37.7853321,-122.4083629
node,808884825,Burger King,,Burger King,,37.7850921,-122.4079256
node,903709625,China Express,,,,37.7523340,-122.4186296
node,903709629,Truly Mediteranean,,,,37.7648278,-122.4222609
node,950977345,Subway,,Subway,,37.7944451,-122.3967654
node,983388331,Subway,,Subway,,37.7781961,-122.4157435
node,1003283711,Viking's Giant Subs,,,,37.7333904,-122.4343103
node,1106966270,El Castillito,,,,37.7687849,-122.4292661
node,1220797685,B&J 1/4 lb. Burgers,,,,37.7223097,-122.3959425
node,1221102930,Golden City,,,,37.7318084,-122.3913825
node,1229133895,Mama Mia Pizza,,,,37.7233625,-122.4547858
node,1229745480,Soup Freaks,,,,37.7867758,-122.4009386
node,1229745516,,,,,37.7803301,-122.4076377
node,1229920544,McDonald's,,McDonald's,,37.7131382,-122.4445763
node,1229920652,Pizza Roma,,,,37.7172989,-122.4400805
node,1230343363,Quickly,,,,37.7268295,-122.4031215
node,1230343376,J. Georgie's Donuts & Hamburger,,,,37.7308314,-122.4050974
node,1230343502,Hawaian Drive-Inn,,,,37.7286624,-122.4042360
